영화명,감독,배우,장르,등급,전국관객수
명량,김한민,최민식/류승룡/조진웅/진구/김명곤/이정현/귄율/노민우/김태훈/이승준/김강일/박보검/이해영/장준녕/문영동/김원해/유순웅/최덕문/김길동/박노식/최창균/신창수/김현태/정제우/강태영/김구택/주석태/조복래/고경표/심지원/이재구/조하석/구본진/이주실/한성용/하수호/이태형/오타니 료헤이,사극,15세,17613682
국제시장,윤제균,황정민/김윤진/오달수/정진영/장영남/라미란/김슬기/이현/김민재/태인호/황선화/최재섭/유정호/고윤/박선웅/남진복/맹세창/정영기/홍석연,드라마,12세,14245998
아바타,제임스 카메론,샘 워싱턴/조 샐다나/시고니 위버/스티븐 랭/미셸 로드리게즈/지오바니 리비시/조엘 무어/CCH 파운더/웨스 스투디/라즈 알론소,SF,12세,13624328
베테랑,류승완,황정민/유아인/유해진/오달수/장윤주/김시후/오대환/정웅인/정만식/송영창/진경/박소담/이동휘/배성우/천호진,액션,15세,13395400
괴물,봉준호,송강호/변희봉/박해일/배두나/고아성/오달수/이재응/이동호/윤제문/임필성/김뢰하/박노식/고수희/유연수,SF,12세,13019740
도둑들,최동훈,김윤석/김혜수/이정재/전지현/임달화/김해숙/오달수/김수현/이신제/증국상/주진모/기국서/최덕문/채국희/예수정/최진호,액션,15세,12983330
7번방의 선물,이환경,류승룡/박신혜/갈소원/오달수/박원상/김정태/정만식/김기천/박길수/조재윤/정한비/조덕현/이윤회/조주경/강승완/김세동/윤선우/한성용/이윤희/이승연/강승완,코미디,15세,12811206
암살,최동훈,전지현/이정재/하정우/오달수/조진웅/이경영/최덕문/박병은/김의성/진경/허지원/김홍파/정규수/김강우/한동규/정기섭/이환/김인우/이영석/심희섭/허정도/우상전,액션,15세,12705700
광해 왕이 된 남자,추창민,이병헌/류승룡/한효주/김인권/장광/심은경/박지아/신정근/양준모/문창길/성민수,사극,15세,12319542
왕의 남자,이준익,감우성/정진영/강성연/이준기/장항선/유해진/정석용/이승훈,드라마,15세,12302831
해운대,윤제균,설경구/하지원/박중훈/엄정화/이민기/강예원/김인권/송재호/김지영/여호민/성병숙/도용구/노준호/지대한/장명갑/최재섭/천보근/김유정/이시온/윤제리/김유빈/김정문,액션,12세,11453338
변호인,양우석,송강호/김영애/오달수/곽도원/임시완/송영창/정원중/조민기/이항나/이성민/차은재/차광수/한기중/심희섭/조완기,드라마,15세,11372451
어벤져스: 에이지 오브 울트론,조스 웨던,로버트 다우니 주니어/크리스 헴스워스/마크 러팔로/크리스 에반스/스칼렛 요한슨/제레미 레너/돈 치들/애런 존슨/엘리자베스 올슨/폴 베타니/코비 스멀더스/스텔란 스카스가드/제임스 스페이저/사무엘 L. 잭슨,액션,12세,10494499
겨울왕국,크리스 벅/제니퍼 리,크리스틴 벨/이디나 멘젤/조시 게드/조나단 그로프/산티노 폰타나/알란 터딕/시아란 힌즈/크리스 윌리엄스,애니메이션,전체관,10296101
인터스텔라,크리스토퍼 놀란,매튜 맥커너히/앤 해서웨이/마이클 케인/제시카 차스테인/케이시 애플렉/웨스 벤틀리/토퍼 그레이스/매켄지 포이/맷 데이먼/존 리스고/조쉬 스튜어트,SF,12세,10273803
검사외전,이일형,황정민/강동원/이성민/박성웅/김응수/신소율/박종환/한재영/주진모/김원해/전배수/김홍파/김병옥/박지환/이호철/손종학/김종수/민무재,범죄,15세,9500852
관상,한재림,송강호/이정재/백윤식/조정석/이종석/김혜수/김의성/정규수/채상우/이찬영/이도엽/유상재,사극,15세,9134586
아이언맨 3,쉐인 블랙,로버트 다우니 주니어/기네스 팰트로/벤 킹슬리/돈 치들/가이 피어스/레베카 홀/폴 베타니/존 파브로/윌리암 새들러/제임스 뱃지 데일/애쉴리 해밀턴/왕학기/타이 심킨스/데일 딕키/스테파니 스조스택,액션,12세,9001309
설국열차,봉준호,크리스 에반스/송강호/에드 해리스/존 허트/틸다 스윈튼/제이미 벨/고아성/옥타비아 스펜서/이완 브렘너/알리슨 필/루크 파스콸리노/케니 도우티/블라드 이바노브/엠마 레비/토마스 레마크퀴스,SF,15세,8914845
수상한 그녀,황동혁,심은경/나문희/박인환/성동일/이진욱/김현숙/황정민/김슬기/홍석연/정인기/하연주/진영/박혜진/한지은/이상언/김동희,드라마,15세,8656397
해적: 바다로 간 산적,이석훈,김남길/손예진/유해진/이경영/오달수/김태우/박철민/신정근/조희봉/조달환/조희봉/정성화/최진리/이이경/안내상/김경식/이대연,어드벤처,12세,8646758
국가대표,김용화,하정우/성동일/김지석/김동욱/최재환/이재응/이은성/이한위/이혜숙/김지영/현쥬니/황하나,드라마,12세,8487894
디워,심형래,제이슨 베어/아만다 브룩스/크레이그 로빈슨/엘리자베스 페나/로버트 포스터/크리스 멀키/에이미 가르시아/존 알레스/빌리 가델/,액션,12세,8426973
과속스캔들,강형철,차태현/박보영/왕석현/임지규/황우슬혜/임승대/정원중/김기방/박영서,코미디,12세,8245523
